,year,month,day,InterestRate
118,2008,4,1,9.50%
117,2008,6,1,10.00%
116,2008,7,1,10.50%
115,2008,9,1,11.00%
114,2008,12,1,11.50%
113,2009,1,1,11.50%
112,2009,3,1,10.50%
111,2009,4,1,10.00%
110,2009,6,1,9.50%
109,2009,7,1,9.00%
108,2009,8,1,8.50%
107,2009,10,1,8.25%
106,2009,12,1,8.25%
105,2010,7,1,8.25%
104,2010,8,1,8.25%
103,2010,10,1,8.25%
102,2010,12,1,8.25%
101,2011,1,1,8.25%
100,2011,4,1,8.25%
99,2011,7,1,8.25%
98,2011,8,1,8.25%
97,2011,12,1,9.25%
96,2012,3,1,9.25%
95,2012,4,1,9.25%
94,2012,6,1,9.25%
93,2012,7,1,9.25%
92,2012,8,1,9.25%
91,2012,10,1,9.25%
90,2012,11,1,9.25%
89,2013,1,1,9.25%
88,2013,2,1,9.25%
87,2013,6,1,9.75%
86,2013,7,1,9.75%
85,2013,9,1,9.25%
84,2013,10,1,9.13%
83,2013,12,1,8.25%
82,2014,3,1,8.25%
81,2014,5,1,8.25%
80,2014,6,1,8.25%
79,2014,8,1,9.25%
78,2014,10,16,9.25%
77,2015,1,15,8.75%
76,2015,2,26,8.75%
75,2015,4,23,8.75%
74,2015,6,11,8.75%
73,2015,7,30,8.75%
72,2015,9,17,8.75%
71,2015,10,29,8.75%
70,2015,12,24,9.25%
69,2016,1,28,9.25%
68,2016,3,17,10.75%
67,2016,4,28,10.75%
66,2016,6,16,11.75%
65,2016,7,28,11.75%
64,2016,9,22,11.75%
63,2016,11,3,14.75%
62,2016,11,17,14.75%
61,2016,12,29,14.75%
60,2017,2,16,14.75%
59,2017,3,30,14.75%
58,2017,5,21,16.75%
57,2017,7,6,18.75%
56,2017,8,17,18.75%
55,2017,9,28,18.75%
54,2017,11,16,18.75%
53,2017,12,28,18.75%
52,2018,2,15,17.75%
51,2018,3,29,16.75%
50,2018,5,17,16.75%
49,2018,6,28,16.75%
48,2018,8,16,16.75%
47,2018,9,27,16.75%
46,2018,11,15,16.75%
45,2018,12,27,16.75%
44,2019,2,14,15.75%
43,2019,3,28,15.75%
42,2019,5,23,15.75%
41,2019,7,11,15.75%
40,2019,8,22,14.25%
39,2019,9,26,14.25%
38,2019,11,14,12.25%
37,2020,1,16,12.25%
36,2020,2,20,12.25%
35,2020,3,16,9.25%
34,2020,4,2,9.25%
33,2020,5,14,9.25%
32,2020,6,25,9.25%
31,2020,8,13,9.25%
30,2020,9,24,8.75%
29,2020,11,12,8.25%
28,2020,12,24,8.25%
27,2021,2,4,8.25%
26,2021,3,18,8.25%
25,2021,4,28,8.25%
24,2021,6,17,8.25%
23,2021,8,5,8.25%
22,2021,9,16,8.25%
21,2021,10,28,8.25%
20,2021,12,16,8.25%
19,2022,2,3,8.25%
18,2022,3,21,9.25%
17,2022,3,21,9.25%
16,2022,5,19,11.25%
15,2022,6,23,11.25%
14,2022,8,18,11.25%
13,2022,9,22,11.25%
12,2022,10,27,13.25%
11,2022,12,22,16.25%
10,2023,2,2,16.25%
9,2023,3,30,18.25%
8,2023,5,18,18.25%
7,2023,6,22,18.25%
6,2023,8,3,19.25%
5,2023,9,21,19.25%
4,2023,11,2,19.25%
3,2023,12,21,19.25%
2,2024,2,1,21.25%
1,2024,3,6,27.25%
0,2024,3,28,
